Bondad;Tercera Caida;Amor y Humildad;Borriquita;Cena;Huerto;Pusillus Grex;Canita;Prendimiento;Consuelo;Estudiantes;Dolores;Cautivo;Esperanza;Silencio;Nazareno;Angustias;Vera-Cruz;Sed;Santo Entierro;Resucitado
36.772563773,-6.349259432;36.771421189,-6.369343609;36.771627568,-6.35426277;36.775431871,-6.352016721;36.796610897,-6.337298313;36.775748971,-6.348873363;36.774427715,-6.354393294;36.77514294,-6.352474633;36.771511037,-6.348534781;36.777254167,-6.357424618;36.779995497,-6.349660407;36.776423745,-6.356783164;36.779116841,-6.354310596;36.785035502,-6.344367974;36.779457055,-6.350495711;36.775310947,-6.351868507;36.774828273,-6.354823068;36.774743627,-6.353094885;36.776521617,-6.350897652;36.782042623,-6.34834331;36.780029196,-6.350969718
36.77250154,-6.349339867;36.771243661,-6.370114881;36.771541987,-6.354193715;36.77514294,-6.352474633;36.795465667,-6.337165212;36.775502984,-6.349306819;36.774110726,-6.354161528;36.774970275,-6.352758988;36.771617951,-6.348594891;36.777163374,-6.357354376;36.779748785,-6.350063045;36.776127521,-6.356571817;36.779222091,-6.354384796;36.785077389,-6.344418845;36.779241774,-6.350866398;36.775428531,-6.352010817;36.774810632,-6.35470069;36.774569716,-6.353833838;36.776500769,-6.350992071;36.781851324,-6.348632289;36.779861294,-6.351249267
36.772435586,-6.349355488;36.771027844,-6.37004809;36.771440424,-6.354200651;36.774970275,-6.352758988;36.794481029,-6.337075057;36.775265232,-6.349740896;36.774208834,-6.35381773;36.77486534,-6.352924378;36.771727101,-6.34869988;36.777006085,-6.357229107;36.779550902,-6.350364951;36.775823744,-6.356236607;36.77928858,-6.354250958;36.785091846,-6.344480144;36.778785414,-6.35062432;36.77514294,-6.352474633;36.774424838,-6.35438717;36.77450922,-6.354124283;36.776297961,-6.351601331;36.781581186,-6.348954711;36.779567868,-6.351068263
36.772303594,-6.349743297;36.77099284,-6.370043644;36.770812354,-6.354416203;36.77486534,-6.352924378;36.793851733,-6.337024717;36.774796623,-6.350567627;36.774318689,-6.353390692;36.775503403,-6.353238416;36.772112819,-6.349085204;36.77643758,-6.356796175;36.779368165,-6.350628665;36.775535465,-6.355935647;36.779528922,-6.353922088;36.785026349,-6.344686473;36.778598454,-6.350534557;36.774970275,-6.352758988;36.77411586,-6.354162232;36.774467035,-6.354279019;36.776160396,-6.352026887;36.781112105,-6.349554351;36.779243508,-6.350871588
36.772467859,-6.349877936;36.770974535,-6.370079054;36.77074892,-6.354185019;36.775503403,-6.353238416;36.79331091,-6.336991293;36.774453199,-6.35121555;36.774442847,-6.352897063;36.775833181,-6.353389544;36.772339704,-6.349288429;36.776124611,-6.356569166;36.779241031,-6.350860426;36.775315441,-6.355726469;36.779742214,-6.353654542;36.784907678,-6.345027882;36.778331658,-6.350404192;36.77486534,-6.352924378;36.773755908,-6.353893352;36.774417154,-6.354390594;36.7758567,-6.351786062;36.780230584,-6.350684331;36.778785676,-6.350626548
36.772639466,-6.35014855;36.770797712,-6.370756906;36.770694577,-6.353949594;36.775833181,-6.353389544;36.79309484,-6.336957386;36.774147787,-6.351860007;36.774472348,-6.352867597;36.77587188,-6.353210675;36.772441621,-6.34935818;36.775842014,-6.356245085;36.778787853,-6.350627809;36.775035337,-6.355498374;36.780337939,-6.352954393;36.784743033,-6.345351224;36.778069703,-6.35031896;36.775503403,-6.353238416;36.773906651,-6.353377575;36.774310846,-6.354647728;36.775587641,-6.35153118;36.780013903,-6.35098145;36.778343994,-6.350408656
36.772679833,-6.350226962;36.771367741,-6.370967395;36.770642314,-6.353758537;36.77587188,-6.353210675;36.792927422,-6.33695994;36.774060133,-6.35211022;36.774900114,-6.352249282;36.775913106,-6.353229844;36.772304908,-6.349742854;36.775536408,-6.355923169;36.778476911,-6.350484058;36.77465002,-6.355319485;36.77945201,-6.352143905;36.784642464,-6.345533208;36.777973043,-6.350279012;36.775833181,-6.353389544;36.774038923,-6.352949824;36.774204881,-6.354943123;36.775310091,-6.351862924;36.779852756,-6.351247389;36.778179984,-6.350358062
36.772760464,-6.350502525;36.771934707,-6.371173252;36.770577765,-6.353625853;36.775913106,-6.353229844;36.79277599,-6.336990735;36.7739321,-6.352388076;36.77511489,-6.35210735;36.775885159,-6.353346188;36.77245796,-6.349882297;36.775302851,-6.355714491;36.778315877,-6.350403492;36.774851884,-6.354727487;36.779218016,-6.352651516;36.784308654,-6.346158011;36.77766957,-6.35013246;36.77587188,-6.353210675;36.774155478,-6.352597717;36.774160313,-6.355188985;36.77542998,-6.352013782;36.77923956,-6.350864336;36.778017638,-6.350299573
36.772868038,-6.350892092;36.77270521,-6.371451328;36.770500468,-6.353493027;36.775885159,-6.353346188;36.792606111,-6.337093937;36.774168919,-6.352608771;36.775304954,-6.351868023;36.776175999,-6.353466586;36.772572624,-6.35004799;36.77503799,-6.355505365;36.778006338,-6.350296457;36.774803787,-6.354667405;36.778466314,-6.352199432;36.784136925,-6.346457892;36.77763312,-6.35036431;36.775913106,-6.353229844;36.77445935,-6.352869094;36.774294025,-6.355210052;36.77514294,-6.352474633;36.778782643,-6.350624454;36.777860333,-6.350220725
36.772956563,-6.35109601;36.772880736,-6.370719415;36.770593303,-6.353296857;36.776175999,-6.353466586;36.791569501,-6.33782335;36.774464606,-6.352870369;36.775426817,-6.352015934;36.776149699,-6.353544139;36.772672533,-6.350225278;36.774642348,-6.355309166;36.777834102,-6.35020963;36.774417764,-6.354390906;36.778800574,-6.351580838;36.783692501,-6.347299303;36.777251769,-6.351098441;36.775885159,-6.353346188;36.774891795,-6.352269212;36.774634675,-6.355308972;36.774970275,-6.352758988;36.778478732,-6.350480002;36.77766542,-6.350129967
36.773068272,-6.351272556;36.773071658,-6.369940415;36.770480747,-6.353504373;36.776149699,-6.353544139;36.79051096,-6.338571806;36.774895353,-6.352252394;36.77514294,-6.352474633;36.775853945,-6.3534058;36.772754375,-6.350505349;36.774857178,-6.354723254;36.777666903,-6.350127139;36.774116064,-6.354157545;36.779023075,-6.351285664;36.783494503,-6.347114402;36.777228526,-6.351126271;36.776175999,-6.353466586;36.775102281,-6.352118888;36.774809304,-6.354868593;36.77486534,-6.352924378;36.778325904,-6.350408654;36.777635635,-6.350376152
36.77327649,-6.351550789;36.773141108,-6.369690368;36.770450446,-6.353607167;36.775853945,-6.3534058;36.7897286,-6.339112897;36.775120989,-6.35210211;36.774970275,-6.352758988;36.775749242,-6.353902114;36.772866043,-6.350850148;36.774800405,-6.354672252;36.777629659,-6.350369206;36.773748548,-6.353886655;36.779147449,-6.351071277;36.783180376,-6.347583005;36.777197172,-6.351152167;36.776149699,-6.353544139;36.775315015,-6.351868169;36.774818728,-6.354692627;36.775503403,-6.353238416;36.77816828,-6.350359049;36.777253454,-6.351096792
